Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Photon;TOP;VIT;SK;Irrelevant;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Varus;Twisted_Fate;Orianna;Zeri;Jayce;Renekton;Win;25;10;4;1;18;9;3;10;6.3;321;44;0;8.5;17539;462;22.9;65;21;20;7;7;1.71;0.55;0.18;0.53;16.6;46601;37679;6863;2059;1227;28.6;0.5;76;0;1;1;0;0;1011;30;505;0;0;6746;6746;5020;0;34479;0;15;245;26871;118;8;26;250;800
Daglas;JUNGLE;VIT;SK;Isma;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Rell;Kalista;Xayah;Sejuani;Volibear;Sejuani;Win;25;10;4;1;16;2;5;14;3.2;179;146;0;4.7;12279;323;16;74;16;23;16;14;1.95;0.42;0.42;0.61;18.9;16754;9971;5859;924;441;10.3;0.42;64;0;0;0;0;0;-242;5;-430;0;1;2862;2862;19830;0;57257;0;22;487;45299;141;17;37;0;0
Vetheo;MID;VIT;SK;Nisqy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Maokai;Rumble;Volibear;Azir;Orianna;Azir;Win;25;10;4;1;18;1;4;14;3.8;299;9;0;7.9;14514;382;19;64;24;11;13;12;1.68;0.63;0.34;0.29;16.3;29392;1116;27145;1131;774;18.1;0.39;60;0;0;0;0;0;-1261;-8;-1349;-1;0;5717;5717;1554;0;18143;3759;29;382;16260;110;17;31;100;50
Carzzy;ADCARRY;VIT;SK;Exakick;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Jax;Nautilus;Jayce;Bard;Xayah;Zeri;Win;25;10;4;1;18;13;1;7;20;451;49;0;11.9;22464;591;29.4;69;19;19;8;8;1.82;0.5;0.21;0.5;17.6;64665;62392;354;1919;1702;39.7;0.53;80;0;3;0;0;0;744;30;605;0;0;15376;15376;14344;0;19634;0;17;73;25408;44;11;31;600;700
Hylissang;SUPPORT;VIT;SK;Doss;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Rakan;Camille;Zilean;Renekton;Zilean;Bard;Win;25;10;4;1;16;0;1;18;18;32;0;0;0.8;9710;256;12.7;120;55;21;15;13;3.16;1.45;0.39;0.55;30.6;5273;868;4073;332;139;3.2;0.47;72;0;0;0;0;0;-460;4;-411;0;0;711;711;12230;6608;16408;2564;21;89;14563;8;18;35;0;0
Irrelevant;TOP;SK;VIT;Photon;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Red;00:37:59;Twisted_Fate;Varus;Zeri;Orianna;Renekton;Jayce;Loss;14;2;1;2;17;2;7;5;1;233;0;0;6.1;13455;354;19.5;38;11;10;7;6;1;0.29;0.18;0.26;10.5;13943;11718;2121;104;367;14.5;0.18;50;0;1;0;0;0;-1011;-30;-505;0;0;1065;1065;11167;0;46153;0;15;53;51676;193;8;30;700;0
Isma;JUNGLE;SK;VIT;Daglas;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Red;00:37:59;Kalista;Rell;Sejuani;Xayah;Sejuani;Volibear;Loss;14;2;1;2;16;2;2;9;5.5;172;146;0;4.5;11207;295;16.2;46;18;5;17;17;1.21;0.47;0.45;0.13;12.7;11793;4867;6082;844;310;12.3;0.29;78.6;0;0;0;0;0;242;-5;430;0;1;310;310;19326;0;59870;0;37;388;53864;79;19;37;50;100
Nisqy;MID;SK;VIT;Vetheo;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Red;00:37:59;Rumble;Maokai;Azir;Volibear;Azir;Orianna;Loss;14;2;1;2;18;4;6;6;1.7;345;31;0;9.1;16185;426;23.4;45;27;6;13;13;1.18;0.71;0.34;0.16;12.4;28326;198;27473;655;746;29.5;0.26;71.4;0;0;0;0;0;1261;8;1349;1;0;4184;4184;6398;0;26479;0;10;204;36710;240;17;39;0;350
Exakick;ADCARRY;SK;VIT;Carzzy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Red;00:37:59;Nautilus;Jax;Bard;Jayce;Zeri;Xayah;Loss;14;2;1;2;18;5;5;2;1.4;441;47;0;11.6;19245;507;27.8;68;20;22;9;9;1.79;0.53;0.24;0.58;18.7;32470;22634;8380;1456;855;33.8;0.18;50;1;0;0;0;0;-744;-30;-605;0;0;702;702;3761;0;19088;0;9;251;25793;147;11;31;700;500
Doss;SUPPORT;SK;VIT;Hylissang;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Red;00:37:59;Camille;Rakan;Renekton;Zilean;Bard;Zilean;Loss;14;2;1;2;14;1;5;8;1.8;33;0;0;0.9;9013;237;13;166;105;20;19;17;4.37;2.76;0.5;0.53;45.7;9574;1838;6223;1513;252;10;0.24;64.3;0;0;0;0;0;460;-4;411;0;0;0;0;15406;10831;18194;1325;40;195;28351;130;22;39;100;0
